date,open,high,low,close,volume,factor
2018-12-20,112.1668,112.1852,110.9349,110.9993,10000,1
2018-12-21,111.367,111.4314,110.6775,110.9809,10000,1
2018-12-24,111.3578,111.6244,111.1556,111.5325,10000,1
2018-12-26,111.2291,111.5968,110.2914,110.3374,10000,1
2018-12-27,111.4773,111.5876,110.3006,110.3557,10000,1
2018-12-28,110.6867,111.2843,110.5856,111.2843,10000,1
2018-12-31,110.9165,111.7531,110.7419,111.7072,10000,1
2019-01-02,111.845,112.3047,111.551,112.2955,10000,1
2019-01-03,112.4242,113.8676,112.366,113.5734,10000,1
2019-01-04,112.4702,112.6724,111.8359,112.2587,10000,1
2019-01-07,112.7276,112.7552,111.8083,111.9278,10000,1
2019-01-08,111.8726,112.1025,111.5968,111.6336,10000,1
2019-01-09,111.4773,111.6336,111.0498,111.4589,10000,1
2019-01-10,111.4957,111.6152,110.6315,110.7419,10000,1
2019-01-11,111.082,111.4865,110.9441,111.1739,10000,1
2019-01-14,111.1464,111.2475,110.5411,110.7602,10000,1
2019-01-15,110.8338,110.843,110.273,110.3557,10000,1
2019-01-16,109.942,110.6775,109.8685,110.4661,10000,1
2019-01-17,110.5212,110.8062,110.2178,110.4936,10000,1
2019-01-18,110.1719,110.4293,109.7536,109.9145,10000,1
2019-01-22,110.604,110.9809,110.3833,110.6591,10000,1
2019-01-23,110.2087,110.889,110.1627,110.6132,10000,1
2019-01-24,111.1556,111.4773,110.9717,111.3394,10000,1
2019-01-25,110.8614,111.0085,110.6132,110.8062,10000,1
2019-01-28,110.8154,111.1831,110.6959,110.6959,10000,1
2019-01-29,110.8062,111.2751,110.6775,111.2567,10000,1
2019-01-30,111.0912,111.2199,110.6223,111.1739,10000,1
2019-01-31,111.7439,112.3231,111.698,112.13,10000,1
2019-02-01,111.9318,112.0147,111.3463,111.4526,10000,1
2019-02-04,110.9735,111.0749,110.5865,110.9551,10000,1
2019-02-05,111.2407,111.7014,111.1762,111.4618,10000,1
2019-02-06,111.8212,111.8673,111.2407,111.5171,10000,1
2019-02-07,111.9133,112.328,111.7014,112.2542,10000,1
2019-02-08,112.6504,112.8439,112.4754,112.7334,10000,1
2019-02-11,112.2819,112.5767,112.1805,112.2911,10000,1
2019-02-12,112.0976,112.1805,111.6738,112.0009,10000,1
2019-02-13,111.6277,111.8488,111.4066,111.5816,10000,1
2019-02-14,112.5399,112.5952,112.0239,112.2174,10000,1
2019-02-15,112.0055,112.4293,111.987,112.3925,10000,1
2019-02-19,112.7979,112.9084,112.3648,112.6781,10000,1
2019-02-20,112.3648,112.4846,112.0331,112.3556,10000,1
2019-02-21,111.554,111.6369,111.2131,111.3513,10000,1
2019-02-22,111.9225,112.3602,111.8765,112.0147,10000,1
2019-02-25,111.6461,111.7659,111.4158,111.683,10000,1
2019-02-26,112.1621,112.245,111.8212,112.2358,10000,1
2019-02-27,111.6,111.6093,110.826,110.9643,10000,1
2019-02-28,111.0841,111.1393,110.3009,110.5865,10000,1
2019-03-01,110.1832,110.3679,109.5461,109.5646,10000,1
2019-03-04,110.1463,110.5895,109.9339,110.4233,10000,1
2019-03-05,110.1371,110.6818,110.1278,110.6541,10000,1
2019-03-06,110.728,111.282,110.7003,111.0604,10000,1
2019-03-07,111.3928,111.9653,111.3651,111.7806,10000,1
2019-03-08,111.836,112.3623,111.5821,112.2515,10000,1
2019-03-11,112.0946,112.113,111.7068,111.9191,10000,1
2019-03-12,112.0022,112.8609,111.9607,112.704,10000,1
2019-03-13,112.3346,112.6116,112.2977,112.4916,10000,1
2019-03-14,112.3623,112.427,111.6514,111.6791,10000,1
2019-03-15,112.4085,112.6024,112.0946,112.4177,10000,1
2019-03-18,112.2515,112.5285,112.2025,112.3531,10000,1
2019-03-19,111.8083,112.2931,111.6237,112.1038,10000,1
2019-03-20,112.4085,113.4334,112.3993,113.2764,10000,1
2019-03-21,113.535,113.655,113.3318,113.5258,10000,1
2019-03-22,114.6892,115.6772,114.5507,115.2893,10000,1
2019-03-25,115.2432,116.2866,114.9661,115.474,10000,1
2019-03-26,115.1416,115.6864,115.0677,115.3909,10000,1
2019-03-27,115.8064,116.6559,115.7049,116.4528,10000,1
2019-03-28,116.5728,116.9791,116.3512,116.859,10000,1
2019-03-29,116.0465,116.7759,116.0096,116.7482,10000,1
2019-04-01,115.9415,116.003,114.9235,115.0901,10000,1
2019-04-02,115.1919,115.4296,114.9744,115.3029,10000,1
2019-04-03,114.3868,114.6274,114.1647,114.3035,10000,1
2019-04-04,114.3776,114.6459,114.2295,114.6274,10000,1
2019-04-05,114.3961,114.905,114.3591,114.7755,10000,1
2019-04-08,114.5904,114.7014,114.3035,114.3683,10000,1
2019-04-09,114.9513,115.0577,114.5349,114.7292,10000,1
2019-04-10,114.9976,115.2289,114.8403,115.0068,10000,1
2019-04-11,114.6829,114.7662,114.2017,114.3313,10000,1
2019-04-12,113.7205,113.8779,113.4799,113.517,10000,1
2019-04-15,113.6141,113.8131,113.5632,113.8038,10000,1
2019-04-16,113.3689,113.4799,113.0265,113.0913,10000,1
2019-04-17,113.0172,113.4245,112.9987,113.1375,10000,1
2019-04-18,113.6465,113.9149,113.6187,113.7298,10000,1
2019-04-22,113.3319,113.4244,113.1144,113.1838,10000,1
2019-04-23,113.4614,113.5447,113.2578,113.4244,10000,1
2019-04-24,113.9241,114.3683,113.9056,114.3498,10000,1
2019-04-25,114.2758,114.3961,113.9149,114.1832,10000,1
2019-04-26,114.7292,114.7662,114.4146,114.5719,10000,1
2019-04-29,114.0352,114.1462,113.6835,113.8408,10000,1
2019-04-30,113.7761,114.5071,113.7576,114.4238,10000,1
2019-05-01,114.701,115.4058,114.6176,114.8958,10000,1
2019-05-02,114.6918,114.8123,114.0983,114.3486,10000,1
2019-05-03,114.6732,114.8726,114.4043,114.6732,10000,1
2019-05-06,115.276,115.3409,114.9189,114.9885,10000,1
2019-05-07,115.48,116.0457,115.3502,115.8695,10000,1
2019-05-08,116.0549,116.1939,115.2667,115.3687,10000,1
2019-05-09,116.0178,116.194,115.276,115.8416,10000,1
2019-05-10,115.8138,116.3331,115.5356,115.684,10000,1
2019-05-13,116.2868,116.7782,116.1477,116.5928,10000,1
2019-05-14,116.3888,116.5186,116.1013,116.2497,10000,1
2019-05-15,117.0379,117.0935,116.6299,116.9637,10000,1
2019-05-16,116.667,116.6855,116.4073,116.5742,10000,1
2019-05-17,117.1028,117.1213,116.5557,116.8339,10000,1
2019-05-20,116.9544,117.1955,116.5186,116.5928,10000,1
2019-05-21,116.4722,116.5835,116.194,116.4073,10000,1
2019-05-22,116.6299,117.1492,116.5835,117.075,10000,1
2019-05-23,117.6685,118.7813,117.6592,118.3918,10000,1
2019-05-24,118.2898,118.4938,118.1321,118.4938,10000,1
2019-05-28,118.9482,119.5324,118.7766,119.4304,10000,1
